 House Courage Kindness Lucidity Intelligence Creativity Loyalty "Cold blood" Sincerity Ambition Wisdom
0 Gryffindor 4.3851676080349025 1.6650564053462729 7.337666294621972 2.7232465506818437 5.938745556033683 10.0 4.425209952387808 5.953273281691796 5.310486926008223 7.021911258782215
1 Gryffindor 5.448359600527857 4.881139444463009 5.245579401619256 1.6021801487107012 6.806185070952363 6.768606449903942 4.286560001229188 5.198709296310669 7.525162350705865 5.035786129210939
2 Gryffindor 4.408676765705261 3.126164185536447 4.999941556770099 3.998779387394773 4.279956807639891 3.047460272935539 2.8868922017883873 6.587585580549823 3.3349083774494916 4.389561219490681
3 Gryffindor 2.9465154799762887 3.6408848753325858 9.284639741102703 4.3459086069304185 7.722942243902958 5.807132537121963 2.819872367714807 4.624366464038097 7.201813108835221 5.9469169088187535
4 Gryffindor 3.6667584457140587 6.500820979124376 7.654547049615116 4.510723337022363 8.411190140525505 2.6210764844146577 5.322964066598042 3.3146918765553943 4.7843591999282244 4.513691098803711
5 Gryffindor 3.4798883709025943 3.6805336380741864 9.671227689434641 4.845400109453493 3.4787424127033666 5.380914043452138 1.9772113827117572 5.6218068135558745 2.0411567832595403 6.521682383725029
6 Gryffindor 4.678926890206023 4.594413627916739 5.169746805357818 3.104889905189074 4.366052601391863 6.721925824425748 4.748781813526407 4.770026822381092 6.309553620046544 4.973955075368852
7 Gryffindor 3.848116166575959 4.3041598559737535 4.029202330895638 4.811978710984282 4.929659363537246 3.677651406356228 3.7952091305491327 3.3854052956043814 4.9559611713968446 5.42197453482631
8 Gryffindor 2.5270001718783806 3.740100950044692 6.740301910052478 6.461882517752335 6.234404703044818 1.5291792266835054 4.872766167497136 5.199359089824541 7.332412511315911 3.743528781286151
9 Gryffindor 4.488710674028928 5.290620641356192 8.659857983066171 6.189136983246232 5.285669091010172 6.422072172582025 2.947507088088268 2.9607240987004997 3.9936161201552443 4.796994316350443
10 Gryffindor 3.3826495728906125 5.819912540668904 5.447173597588665 3.2958952985514895 4.2360362820933055 6.284354017736678 3.044301661898827 6.823349471639563 2.1894511896457574 2.2761721284629997
11 Gryffindor 4.147032882851509 5.076402676585495 5.7802890023170015 6.341147716249242 6.5396717200078935 5.907247787467552 4.333362094840713 3.091099623663504 4.805249775595875 1.782627453737545
12 Gryffindor 5.317975377272248 6.451778939856554 7.6719290288540565 5.880607400403433 1.829274421713262 5.50887646667033 3.7855511236461328 4.360483727169422 4.7685308304016 5.094287130581677
13 Gryffindor 4.998612676832914 1.9324119205228247 3.5793370366510855 5.774391382169143 5.711651055461867 2.6826428238388593 4.421778801572539 3.4397710611315557 3.7998019504932596 3.1338658427781603
14 Gryffindor 3.47071915900548 6.698973295857186 4.505822559291506 10.0 6.255063535381086 7.652910143547826 4.719863001876142 5.503663249408782 2.552139237421799 6.042649451484554
15 Gryffindor 4.439957457150402 2.992505748451095 3.796229138093631 6.529321998776092 6.892006379014347 4.794861002255248 2.628901559811071 3.079243787898588 5.424208721218598 7.033399972075412
16 Gryffindor 3.9648516902760065 3.8123548053360863 6.183487095620471 7.732944826955986 7.587242204429009 5.895192167555901 3.8003325880663725 7.165410915844634 3.54687609576244 7.340961871841879
17 Gryffindor 4.258765508075605 5.939794147843848 2.0106958756685533 5.296072315896439 7.4549081347509185 2.8079771615112463 3.463290023455443 4.41011632048837 0.9827167722093577 5.104752413598355
18 Gryffindor 3.4919210871841995 4.671363893220399 2.6756304552709285 4.096644241868066 5.7220477249006585 6.300840158251245 5.315619094811305 3.4461991866970547 3.1584087685834126 5.429521269402498
19 Gryffindor 5.2148123565935744 3.9432925596465447 7.223839023762167 5.294000117333633 4.111306560275507 6.818589489080297 3.9605733083648738 7.172701006929448 2.464941019211531 5.515019295809362
20 Gryffindor 4.090988504163026 5.239870864847513 5.271961626408591 5.8085430010914285 4.932691428541924 3.004658254595202 4.161744761159405 2.237340949370214 4.17665327816864 6.46587610095621
21 Gryffindor 4.72179256238879 2.6999802036214864 3.5330798649955 7.2396197977497065 7.652747981062655 7.824187608063552 4.5005637578884405 4.1075357299043995 5.545353247849821 6.4610309507116135
22 Gryffindor 1.9855697752502648 5.474931684802695 7.755812265637202 1.554453040163407 6.322848995461672 2.933131606297973 4.124599505419161 3.7551987427282354 5.502034312415603 4.327751358304614
23 Gryffindor 4.680412895949926 4.794226477270364 6.268774063754673 3.540659219780076 9.74566706444773 4.677848917111854 3.5365063474659273 5.197790969848174 2.0644623516340492 4.8913077680927355
24 Gryffindor 4.47893661461306 4.427640570048308 4.357762627863192 4.4953346541674675 9.327010283659561 3.4792314490163996 4.134616850244629 4.2978696621240395 5.255671804938457 3.98284876196848
25 Gryffindor 3.592571096458567 3.189682996381342 8.107103804520413 5.540956077521722 5.445165905703738 6.483820562025384 3.8321296437767836 7.613922599407189 4.508286531570224 3.036079565412253
26 Gryffindor 3.241667135658097 4.466557947614186 3.522089514402047 6.388715262929243 3.334221632831716 4.120460548215397 4.36535207791744 4.99604861436647 3.6531193721600035 4.512679861162049
27 Gryffindor 3.897373944275839 3.551618063625461 3.4854781674433495 4.182722164090725 5.395159522363252 3.932937300171739 2.574506063891867 6.959017596566443 4.071506659998146 1.6432837511088951
28 Gryffindor 3.4088851928165194 3.5219799805550878 4.3920967486092515 5.17866447818593 2.013120698655991 6.301518857522385 5.331985411416782 1.129734957617913 2.8613875013818757 3.47887609937254
29 Gryffindor 3.3728230132876624 3.85234835496457 3.894496728345731 3.2826811034946073 3.141173644786473 3.5457252995334625 2.3331838625778163 4.074029892498324 4.26524526909828 4.488236484156748
30 Gryffindor 4.523786216527512 4.334206174716816 3.7950706129781504 3.6137865826542925 5.610969441680364 5.020952276186341 3.1095187333350207 4.265048694074063 1.31449608627188 3.9572468620742143
31 Gryffindor 3.090958395459269 3.951456774051082 4.837100199031616 6.163840852515261 2.155790540460612 3.550942379238643 2.3951700835071166 4.746019259243719 5.540516821383297 4.614760000873632
32 Gryffindor 3.672234253578398 6.48226490904803 2.6955687907179837 4.533411946835787 7.843714579469955 6.449463595395461 3.5299756727522773 6.263724477304747 6.244666425712292 2.9713814869928474
33 Gryffindor 4.4285885704135515 4.185801843309979 5.412852602808319 0.8998095335253096 3.8321101517262752 6.65131379575622 4.3189438319596665 6.42051340616206 4.701123307963375 6.807068175823257
34 Gryffindor 3.06877021165503 4.926058443344385 8.355016993494866 6.657839124468568 3.350355826873984 3.321380991293416 3.2891619902695695 4.0292566508986605 3.684871548828589 5.1346961915098674
35 Gryffindor 4.1193060827255605 2.2449078755714154 7.000808290261363 3.2597162979393914 4.601252756043745 5.380650549095476 3.5958012138756095 4.248988944225947 4.132281143361155 3.844554671995441
36 Gryffindor 5.7180674662022755 6.3290645047787075 1.659704455932851 0.505707534547045 5.53295638498315 4.224859780737798 4.729525379960485 6.902354811213852 10.0 5.4726909297133295
37 Gryffindor 4.517488115709455 5.666327491850829 3.1963609984328705 7.163293665004401 5.3520848796038765 5.079714176371139 3.358972104315479 7.202499906203755 0.21592097418204315 4.045795733826512
38 Gryffindor 2.1507138044996825 3.297439593149881 3.8447161644726084 5.759825868069703 4.445065445329134 5.5125158287203675 2.62455787691544 1.2604588438321405 1.8412291066667548 6.888409421335004
39 Gryffindor 4.025229747868301 4.72035091892366 4.2682898245804655 8.235095899206467 2.2461915519791495 4.6427816419533405 2.405827575893367 2.708234028092666 1.9873958022139206 4.1223655302408515
40 Gryffindor 4.314251325320735 2.9929835834308034 9.21492015900157 3.5084161422780458 3.782402354041162 6.944998568634343 4.054495895081372 2.526763932422547 5.245153142413283 5.322740435096787
41 Gryffindor 3.3292751389342823 4.365425071619608 5.689345845944342 6.24160927552489 5.058184190627903 7.9229840514682826 3.418856975934153 3.2202037743617247 2.8733965279861056 2.082158965238554
42 Gryffindor 3.8959849029009033 3.977267780160628 2.5565620800162554 5.668433644207082 5.33892058573143 1.7783009973016108 3.8442702548364935 7.174680719622778 3.376036532199077 8.054715851464568
43 Gryffindor 4.022764806299004 2.9162806105565116 3.532488857122727 5.345181646514624 1.4149921990363332 4.882891646427643 3.560867659086556 5.16944564225864 5.369678968511491 3.8415646000963677
44 Gryffindor 3.1195456494749747 3.5466018602904867 5.961355517878193 5.0556003284928845 4.669360544751954 2.3527390710012415 5.7438382438322195 6.842323888274424 3.131912725398422 3.7485238784207042
45 Gryffindor 4.945037816839195 4.27556046551844 9.629165631451293 4.656298451112782 7.122441674478326 4.19336301495144 3.925788748960144 3.5620586227420303 4.486483717104037 6.061442139584817
46 Gryffindor 3.9746872333950307 3.433352840389399 4.803659194681095 5.339015776680397 4.218404670514663 4.6943466049958635 3.907022384245937 3.681121871360205 8.273586626923198 8.032141572044882
47 Gryffindor 4.206022595069276 6.701400443481457 2.24434973710926 6.176790176190447 6.345165264478933 4.169034226340427 3.140605140584059 5.584546642528042 3.5848640050203775 6.805610572411585
48 Gryffindor 4.446124263297126 7.324186984896573 5.66564792419965 2.7699244325806345 5.044486589994721 0.4324195177273096 4.5802025073800685 5.198620707620599 4.975414890795593 4.6196726181036665
49 Gryffindor 2.4215318425101118 3.837002807269763 7.015387330745755 1.8972931297473552 3.7203972055055656 4.840002178703465 2.9394171451463444 4.810800723817919 3.949746469941227 5.520325979315737
50 Gryffindor 1.990056525384846 7.32170636230872 2.8664597592251315 9.79148111480564 3.9004668866807495 2.8360910218414572 3.825598098340137 8.344032041591365 2.5468436397582117 4.817345242627567
51 Gryffindor 4.272180252543617 2.5744813147407672 5.141688795072778 7.062799735658706 6.351089590982522 1.920571903902334 2.634294726158276 8.090594037270346 4.088632804581712 4.698235750447096
52 Gryffindor 3.3231643139293934 2.3888533619374592 2.201842986833905 6.772468170709917 4.2671187584221855 4.90650541392905 6.390111151925881 6.529215438321931 8.590833032313792 5.8766090649096565
53 Gryffindor 4.614454009309779 3.3859722253603914 4.729804063137545 4.2699005026896755 7.2170437996003525 6.109392779429489 3.4404674866562432 7.085359798384286 4.056223865142194 8.87724260135634
54 Gryffindor 3.7033632759990835 5.165875445148618 8.920177863180067 4.467221344874749 6.062748222772777 4.643583517593908 3.95580395172515 3.4217901630185517 6.5225220998545534 1.8657940102100088
55 Gryffindor 2.7458385244242196 7.524060926939308 3.1275951909993975 3.700641880831936 8.50670624208189 3.7252151726537623 3.974508574835072 3.4639122576021886 0.43806349271928974 3.6989615141645906
56 Gryffindor 3.4468126577449842 4.674428902550482 4.007026077784784 2.748241362762003 2.1121647776280517 6.412048248764311 5.3070176066571815 4.9264296254176525 3.525418499234255 8.258427409017575
57 Gryffindor 4.5754197948243425 2.8004333212576915 4.111090921061652 5.3422014768607475 3.085013318374719 6.523966046027652 4.1320189573159976 4.502268190248091 5.7621925512990115 4.689638026525195
58 Gryffindor 1.7382786213873986 4.465464870884674 0.0 4.653758843131123 6.209843059654742 3.5129084793000063 4.515849189022637 3.985340441278511 4.462757588899989 5.886128046581946
59 Gryffindor 3.5104826359446295 2.1988517832613956 3.305936180176061 6.522313820055228 9.101412064814658 3.3104812546993614 4.752040344570471 4.49718326408269 4.050068089158454 0.3386366576963392
60 Gryffindor 4.07898041993846 2.1995066847851055 3.742454272135039 4.8637016377903075 3.7511363366400334 9.129813916896069 3.672863561054309 3.11286164976047 4.421605737621116 3.858567208362176
61 Gryffindor 2.7615553172751617 7.405563882522923 5.618939832692224 2.263881819850111 8.160615654305 5.175718057440168 3.2694526247193987 5.9874297263060345 0.0 8.232351960275835
62 Gryffindor 3.788897349492391 2.967244179355613 2.821940608094127 1.9956888099016432 3.437668727714374 7.084240511828904 3.0598703716668996 4.789664249734676 3.786858540689054 4.558048732506816
63 Gryffindor 5.178349676468702 3.752674327871423 0.407114955698874 3.5069598158795956 7.381692839432812 6.676502638845859 2.740534127074991 5.295731454825269 5.3131233128286945 4.748927142119535
64 Gryffindor 3.9252878263926356 2.936103826810512 5.536434918975564 5.240219032142447 4.459808684684305 4.583289469033991 3.510550885937726 4.116607176110042 3.7090799581131058 3.232907297592237
